	SRR2917200_R1_filtered.fastq.gz	SRR2917201_R1_filtered.fastq.gz	SRR2917202_R1_filtered.fastq.gz	SRR2917203_R1_filtered.fastq.gz	SRR2917204_R1_filtered.fastq.gz	SRR2917205_R1_filtered.fastq.gz	SRR2917206_R1_filtered.fastq.gz	SRR2917207_R1_filtered.fastq.gz	SRR2917208_R1_filtered.fastq.gz	SRR2917209_R1_filtered.fastq.gz	SRR2917210_R1_filtered.fastq.gz	SRR2917211_R1_filtered.fastq.gz	SRR2917212_R1_filtered.fastq.gz	SRR2917213_R1_filtered.fastq.gz	SRR2917214_R1_filtered.fastq.gz	SRR2917215_R1_filtered.fastq.gz	SRR2917221_R1_filtered.fastq.gz	SRR2917239_R1_filtered.fastq.gz	SRR2917240_R1_filtered.fastq.gz	SRR2917241_R1_filtered.fastq.gz	SRR2917242_R1_filtered.fastq.gz	SRR2917243_R1_filtered.fastq.gz	SRR2917244_R1_filtered.fastq.gz	SRR2917245_R1_filtered.fastq.gz	SRR2917246_R1_filtered.fastq.gz	SRR2917247_R1_filtered.fastq.gz	SRR2917248_R1_filtered.fastq.gz	SRR2917249_R1_filtered.fastq.gz	SRR2917250_R1_filtered.fastq.gz	SRR2917251_R1_filtered.fastq.gz	SRR2917252_R1_filtered.fastq.gz	SRR2917253_R1_filtered.fastq.gz	SRR2917254_R1_filtered.fastq.gz	SRR2917255_R1_filtered.fastq.gz	SRR2917256_R1_filtered.fastq.gz	SRR2917257_R1_filtered.fastq.gz	SRR2917258_R1_filtered.fastq.gz	SRR2917259_R1_filtered.fastq.gz	SRR2917260_R1_filtered.fastq.gz	SRR2917261_R1_filtered.fastq.gz	SRR2917262_R1_filtered.fastq.gz	SRR2917263_R1_filtered.fastq.gz	SRR2917264_R1_filtered.fastq.gz	SRR2917265_R1_filtered.fastq.gz	SRR2917272_R1_filtered.fastq.gz	SRR2917274_R1_filtered.fastq.gz	SRR2917276_R1_filtered.fastq.gz
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	67	0	0	0	0	0	0	0	0	0	0	0	0	19	0	11	0	0	0	0	0	0	33	0	45	0	0	28	56	0	0	0
ASV_34	0	0	76	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	64	0
ASV_35	25	0	0	0	0	0	0	0	8	0	102	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	0	0	0	0	16	43	0	17	0	22	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	22	0	0	0	77	90	0	30	0
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	16
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	54	0	0	46	0	50	37	0	0	0	24	0	58	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	13	26	0	172	28	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	30	15	40	38	29	38	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	14	14	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	12	0	20	0	16	23	0	0	77	80	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	33	20	65	34	13	69	9	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	15	16	32	0	0	77	79	0	0	0
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	27	53	0	0	0	0	0	0	61	0	0	0
ASV_45	0	0	0	0	0	0	11	0	13	14	0	42	27	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	7	18	0	0	0	0	0	19	0	0	0	0
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	20	0	14	0	0	0	0	14	0	0	0	19	0	0	0	20	0	0	0	16	8	0	17	0	0	33	23	0	0	0
ASV_47	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	73	37	0	0	0	0	0	0	0	0	0	0	0	24	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	23	0	0	0	0	0	29	29	0	23	0	0	40	54	0	0	0
ASV_49	0	0	0	0	0	0	29	0	11	24	0	102	9	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	0	9	28	0	18	45	46	0	0	0	0	0	0	0	22	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV_51	21	0	0	0	0	0	0	0	0	0	68	0	0	11	40	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	12	0	12	25	0	0	0	0	20	12	18	0	0	0	0	0	7	0	15	5	0	0	0	0	0	9	26	0	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	106	0	0	0	0	0	0	0	27	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	31	0	14	0	13	0	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	15	0	0	0	19	19	0
ASV_55	52	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
ASV_56	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	9	0	0	0	0	0	0	0	0	14	0	0	45	67	0	0	0
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	8	0	0	0	0	0	0	6	0	0	0	6	0	0	42	0	0	0	0	0	0	0	32	49	0	0	0
ASV_58	0	0	0	10	0	0	11	0	0	0	60	0	0	0	0	0	29	0	0	0	0	0	10	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	19	0
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	15	0	0	0	22	0	0	0	0	54	0	34	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0	0	0	0	0	28	32	0	40	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
ASV_61	0	0	7	0	0	0	0	0	0	0	11	0	0	0	0	0	10	10	0	0	0	0	9	17	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
ASV_62	0	0	0	0	0	33	25	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
ASV_63	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	42	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	17	39	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	0	0	88	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	25	33	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	0	0	17	0	9	0	0	0	0	0	0	15	0	0	0	0	0	0	0	22	0	6	0	10	0	0	0	11	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	0	0	36	0	37	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_69	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	20	12	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	32	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	9	49	29	0	0	0
ASV_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0	0	19	0	0	34	30	0	0	0
ASV_72	0	0	0	0	0	0	0	0	0	0	0	10	0	0	24	0	0	0	0	0	0	0	0	0	0	0	11	0	34	0	18	10	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	13	0	0	18	0	8	7	0	0	12	0	0	0	0	22	27	0	0	0
ASV_74	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
ASV_75	18	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	14
ASV_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0
ASV_77	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
ASV_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	14	27	22	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV_79	0	0	0	0	0	0	0	0	0	0	29	0	0	0	21	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	4	13	37	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_81	0	0	38	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_82	0	0	0	0	0	42	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_83	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0
ASV_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_86	0	0	0	0	0	0	0	0	0	0	14	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0
ASV_87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	48	0	0
ASV_88	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
ASV_89	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	0	0	0	0	0	0	0	0	0	0	0	6	0	10	28	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	11	0	0	0	0	0	26	35	0	0	0
ASV_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	18	0	0	0	0	20	0	24	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_93	0	0	0	0	0	0	0	0	0	0	0	15	0	16	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0
ASV_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	67	0	0	0
ASV_96	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	36	0	0	0
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ASV_98	0	0	17	0	0	0	0	8	0	0	0	0	0	0	22	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0
ASV_101	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	43	0	0	0
ASV_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0
ASV_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0
ASV_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
ASV_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
